id,state_name,state_code,district_name,district_code,subdistrict_name,subdistrict_code,cluster_name,village_name,udise_village_code,pincode,ward,school_name,udise_school_code,school_category,school_type,management,year_of_establishment,longitude,latitude,status,location_type,class_from,class_to,aff_board_sec,aff_board_h_sec,pre_primary,class_rooms,other_rooms,total_teachers,pre_primary_students,i_students,ii_students,iii_students,iv_students,v_students,vi_students,vii_students,viii_students,ix_students,x_students,xi_students,xii_students,class_students,class_with_pre_primary_students
1405,Meghalaya,17,East Khasi Hills,274,,,Laitlyngkot,Umthli,170608003,793110,,UMTHLI SSA LP SCHOOL,17060800304,Primary,Co. Educational,Department of Education,1996,91.5255,25.267,Operational,Rural,1,5,,,0,6,0,5,70,24,17,24,19,21,0,0,0,0,0,0,0,105,175
1406,Meghalaya,17,East Khasi Hills,274,,,Laitlyngkot,Umthli,170608003,793110,,UMTHLI RKM LP SCHOOL,17060800306,Primary,Co. Educational,Government Aided,1965,91.5112,25.2555,Operational,Rural,1,5,,,0,6,1,6,47,20,25,12,15,13,0,0,0,0,0,0,0,85,132
1407,Meghalaya,17,East Khasi Hills,274,,,Laitlyngkot,Umthli,170608003,793110,,UMTHLI UP SCHOOL,17060800307,Upper Primary only,Co. Educational,Government Aided,1981,91.5051,25.265,Operational,Rural,6,8,,,0,3,2,4,0,0,0,0,0,0,30,28,37,0,0,0,0,95,95
1408,Meghalaya,17,East Khasi Hills,274,,,Laitlyngkot,Umthli,170608003,793110,,UMTHLI PRESBYTERIAN LP SCHOOL,17060800309,Primary,Co. Educational,Government Aided,1958,91.5111,25.255,Operational,Rural,1,5,,,0,5,1,3,58,17,16,12,11,9,0,0,0,0,0,0,0,65,123
1409,Meghalaya,17,East Khasi Hills,274,,,Laitlyngkot,Umthli,170608003,793110,,UMTHLI SECONDARY SCHOOL,17060800310,Secondary Only,Co. Educational,Private Unaided (Recognized),2009,91.5111,25.255,Operational,Rural,9,10,State Board,,0,2,3,4,0,0,0,0,0,0,0,0,0,34,20,0,0,54,54
1410,Meghalaya,17,East Khasi Hills,274,,,Laitkroh,Umtyngngar,170608004,793108,,"LAMJINGSHAI LP SCHOOL, UMTYNGNGAR",17060800401,Primary,Co. Educational,Government Aided,1990,91.4941,25.2753,Operational,Rural,1,5,,,0,4,1,3,28,9,10,10,12,9,0,0,0,0,0,0,0,50,78
1411,Meghalaya,17,East Khasi Hills,274,,,Laitkroh,Umtyngngar,170608004,793108,,LAMJINGSHAI SSA UP SCHOOL- UMTYNGNGAR,17060800402,Upper Primary only,Co. Educational,Department of Education,1990,91.4941,25.2753,Operational,Rural,6,8,,,0,3,0,4,0,0,0,0,0,0,8,5,7,0,0,0,0,20,20
1412,Meghalaya,17,East Khasi Hills,274,,,Laitkroh,Kyrdemkhla,170608005,793108,,KYRDEMKHLA SSA RCLP SCHOOL,17060800501,Primary,Co. Educational,Department of Education,1990,91.4849,25.2622,Operational,Rural,1,5,,,0,3,1,3,20,8,7,5,2,4,0,0,0,0,0,0,0,26,46
1413,Meghalaya,17,East Khasi Hills,274,,,Laitkroh,Mawjrong,170608006,793108,,"ST. PETER'S LP SCHOOL, MAWJRONG",17060800603,Primary,Co. Educational,Government Aided,1977,91.481,25.261,Operational,Rural,1,5,,,0,6,1,5,69,22,25,27,19,36,0,0,0,0,0,0,0,129,198
1414,Meghalaya,17,East Khasi Hills,274,,,Laitkroh,Mawmyrsiang,170608008,793108,,"RKM LP SCHOOL, MAWMYRSIANG",17060800801,Primary,Co. Educational,Unrecognized,1964,91.4731,25.2637,Operational,Rural,1,5,,,0,4,0,4,31,18,12,11,7,5,0,0,0,0,0,0,0,53,84
